id	sentiment	question
0	0	കേരളത്തിലെ മികച്ച വിനോദസഞ്ചാരകേന്ദ്രങ്ങളുടെ പട്ടിക എനിക്ക് കാണിച്ചുതരാമോ
2	1	ബോട്ടിംഗിന് ഏറ്റവും പറ്റിയ സ്ഥലം എനിക്ക് കാണിച്ചു തരൂ
3	2	താമസിക്കാൻ ഒരു മുറി കണ്ടെത്താൻ നിങ്ങൾക്കാകുമോ
4	3	ഈ മേഖലയിലെ മികച്ച കാഴ്ച ഏതാണ്
5	4	നിങ്ങൾ ഹോട്ടലുകളുടെ പട്ടിക നൽകാൻ കഴിയുമോ
6	4	ഈ പ്രദേശത്തെ ഹോട്ടലുകളുടെ പട്ടിക ദയവായി എനിക്ക് തരൂ
1	3	മികച്ച കാഴ്ചകൾ
7	2	താമസിക്കാൻ പറ്റിയ സ്ഥലം
54	9	ഒരു വിനോദസഞ്ചാരിയെന്ന നിലയിൽ, കേരളത്തിൽ നിന്ന് എനിക്ക് എന്തെല്ലാം പ്രതീക്ഷിക്കാം
55	10	കേരളം വളരെ യാഥാസ്ഥിതിക സംസ്ഥാനമാണെന്ന് ഞാൻ കേട്ടിട്ടുണ്ട്, അതുകൊണ്ട് ഇവിടെ ഏതുതരം വസ്ത്രം സ്വീകാര്യമാണ്
56	11	കേരളത്തിൽ എങ്ങനെ എത്താം
57	12	കേരളത്തിൽ എത്ര എയർപോർട്ടുകളാണ് ഉള്ളത്
58	13	കേരളത്തിൽ പ്രവർത്തിക്കുന്ന പ്രധാന വിമാനങ്ങൾ ഏതാണ്
59	14	ഇന്ത്യ സന്ദർശിക്കാൻ വിസ ആവശ്യമാണോ
60	15	നിർദ്ദിഷ്ട സ്ഥലങ്ങളിൽ ഓരോന്നിനും നിങ്ങൾക്ക് ഹോട്ടലുകളുണ്ടോ
61	16	എയർപോർട്ട് അല്ലെങ്കിൽ റെയിൽവേ സ്റ്റേഷനിൽ നിന്ന് നിങ്ങൾക്ക് സേവനങ്ങൾ ലഭ്യമാക്കാമോ
16	1	എനിക്ക് എവിടെ ബോട്ടിംഗ് ചെയ്യാൻ പറ്റും
17	0	വിനോദസഞ്ചാര കേന്ദ്രങ്ങൾ
18	3	ഇവിടുത്തെ മികച്ച കാഴ്ചകൾ എന്തൊക്കെ
19	4	ഇവിടുത്തെ ഹോട്ടലുകൾ
20	4	ഹോട്ടൽ പോകണം
21	3	കാഴ്ചകൾ
22	3	കാഴ്ച
23	4	ഹോട്ടലുകളുടെ പട്ടിക  
24	4	ഹോട്ടലുകളുടെ
25	4	ഹോട്ടലുകൾ 
26	0	വിനോദസഞ്ചാര കേന്ദ്രം 
27	0	വിനോദസഞ്ചാര
28	2	താമസം 
29	2	താമസിക്കാൻ
30	1	ബോട്ടിംഗ്
31	1	ബോട്ടിംഗ്   പോണം
32	1	ബോട്ടിംഗ്   പോകണം 
33	1	ബോട്ടിംഗ്   പോകണം 
34	4	ഹോട്ടലുകൾ 
35	2	താമസം 
36	3	കാഴ്ചകൾ
37	0	വിനോദസഞ്ചാര
38	0	വിനോദസഞ്ചാര കേന്ദ്രം 
39	0	വിനോദസഞ്ചാര
40	2	താമസം 
41	2	താമസിക്കാൻ
42	1	ബോട്ടിംഗ്
43	1	ബോട്ടിംഗ്   പോണം
44	1	ബോട്ടിംഗ്   പോകണം 
45	1	ബോട്ടിംഗ്   പോകണം 
46	4	ഹോട്ടലുകൾ 
47	2	താമസം 
48	3	കാഴ്ചകൾ
49	0	വിനോദസഞ്ചാര
50	5	ലോക ഭൂപടത്തിൽ എവിടെയാണ് കേരളം സ്ഥിതിചെയ്യുന്നത്
51	6	കേരളത്തിൽ ഏതുതരം കാലാവസ്ഥയാണ് നിലനിൽക്കുന്നത്
52	7	കേരളം സന്ദർശിക്കാൻ അനുയോജ്യമായ വർഷം ഏത് സമയത്താണ്
53	8	കേരളത്തിലെ സാധാരണ താപനില എന്താണ്
62	17	അവധി പാക്കേജുകൾ എനിക്ക്  ഇഷ്ടാനുസൃതമാക്കാൻ കഴിയുമോ
63	18	ഹോട്ടലുകളും റിസോർട്ടുകളും പട്ടികയിൽ പരാമർശിച്ചിരിക്കുന്ന എന്റെ ഏതെങ്കിലും ഇഷ്ടമുള്ള ഹോട്ടലുകളിലേക്കുള്ള സ്റ്റേ പാക്കേജുകൾ നിങ്ങൾക്ക് ക്രമീകരിക്കാനാകുമോ
64	19	എനിക്ക്  നിങ്ങളുടെ വെബ്സൈറ്റിലൂടെ എല്ലാ സേവനങ്ങളും റിസർവ് ചെയ്യാനാകുമോ
