id	sentiment	question
1	0	കേരളത്തിലെ മികച്ച വിനോദസഞ്ചാരകേന്ദ്രങ്ങളുടെ പട്ടിക എനിക്ക് കാണിച്ചുതരാമോ?
2	1	ബോട്ടിംഗിന് ഏറ്റവും പറ്റിയ സ്ഥലം എനിക്ക് കാണിച്ചു തരൂ
3	2	താമസിക്കാൻ ഒരു മുറി കണ്ടെത്താൻ നിങ്ങൾക്കാകുമോ?
4	3	ഈ മേഖലയിലെ മികച്ച കാഴ്ച ഏതാണ്?
5	4	ഈ പ്രദേശത്തെ ഹോട്ടലുകളുടെ പട്ടിക ദയവായി എനിക്ക് തരൂ
6	5	ലോക ഭൂപടത്തിൽ എവിടെയാണ് കേരളം സ്ഥിതിചെയ്യുന്നത്?
7	6	കേരളത്തിൽ ഏതുതരം കാലാവസ്ഥയാണ് നിലനിൽക്കുന്നത്?
8	7	കേരളം സന്ദർശിക്കാൻ അനുയോജ്യമായ വർഷം ഏത് സമയത്താണ്?
9	8	കേരളത്തിലെ സാധാരണ താപനില എന്താണ്?
10	9	ഒരു വിനോദസഞ്ചാരിയെന്ന നിലയിൽ, കേരളത്തിൽ നിന്ന് എനിക്ക് എന്തെല്ലാം പ്രതീക്ഷിക്കാം?
11	10	കേരളം വളരെ യാഥാസ്ഥിതിക സംസ്ഥാനമാണെന്ന് ഞാൻ കേട്ടിട്ടുണ്ട്, അതുകൊണ്ട് ഇവിടെ ഏതുതരം വസ്ത്രം സ്വീകാര്യമാണ്?
12	11	കേരളത്തിൽ എങ്ങനെ എത്താം?
13	12	കേരളത്തിൽ എത്ര എയർപോർട്ടുകളാണ് ഉള്ളത്?
14	13	കേരളത്തിൽ പ്രവർത്തിക്കുന്ന പ്രധാന വിമാനങ്ങൾ ഏതാണ്?
15	14	ഇന്ത്യ സന്ദർശിക്കാൻ വിസ ആവശ്യമാണോ?
16	15	കണ്ണൂർ     ജില്ലയുടെ     പ്രത്യേകതകൾ  
17	16	എയർപോർട്ട് അല്ലെങ്കിൽ റെയിൽവേ സ്റ്റേഷനിൽ നിന്ന് നിങ്ങൾക്ക് സേവനങ്ങൾ ലഭ്യമാക്കാമോ?
18	17	അവധി പാക്കേജുകൾ എനിക്ക്  ഇഷ്ടാനുസൃതമാക്കാൻ കഴിയുമോ?
19	18	കോട്ടയം    ജില്ലയുടെ     പ്രത്യേകതകൾ  
20	19	എനിക്ക്  നിങ്ങളുടെ വെബ്സൈറ്റിലൂടെ എല്ലാ സേവനങ്ങളും റിസർവ് ചെയ്യാനാകുമോ?
21	20	കൊല്ലം ജില്ലയുടെ     പ്രത്യേകതകൾ  
22	21	പാക്കേജുകളിൽ ഫീച്ചർ ചെയ്തിട്ടുള്ള എല്ലാ ഹോട്ടലുകളിലും റിസോർട്ടുകളിലും ഹൗസ് ബോട്ടുകളിലും എയർ കണ്ടീഷനിംഗ് ലഭ്യമാണോ?
23	22	ഹൗസ് ബോട്ടുകൾ മൺസൂണിൽ പ്രവർത്തിക്കുന്നുണ്ടോ?
24	23	ഹോട്ടലുകൾ അല്ലെങ്കിൽ  റിസോർട്ടിൽ സസ്യാഹാരം ലഭ്യമാണോ?
25	24	കേരളത്തിലെ കുടിവെള്ള സുരക്ഷിതം എത്രയാണ്?
26	25	ഒരു നിർദ്ദിഷ്ട ഡ്രൈവർ കാർ എനിക്ക് ലഭിക്കുമോ, അതോ ഒരു പങ്കാളി കാർ വാങ്ങാമോ?
27	26	നിങ്ങൾ ഗ്രൂപ്പ് ടൂറുകൾ പ്രവർത്തിക്കുന്നുണ്ടോ?
28	27	നിങ്ങളെ ബന്ധപ്പെടുന്നതിനുള്ള ഏറ്റവും മികച്ച ആശയവിനിമയം ഏതാണ്?
29	28	സപ്തംബർ ആദ്യ ആഴ്ചയിൽ ആലപ്പുഴയിൽ എത്തും. നിങ്ങൾ രാത്രിയിൽ ഒരു ഹൗസ്ബോട്ട് താമസം ആലോചിക്കുമോ അല്ലെങ്കിൽ ഒരു ദിവസം യാത്ര ചെയ്യുമ്പോഴോ മറ്റെവിടെയെങ്കിലും താമസിക്കുന്നത് നല്ലതാണോ?
30	29	ഇന്ത്യയിലെ മികച്ച ബജറ്റ് എയർലൈൻസുകൾ  ഏതൊക്കെയാണ്?
31	30	തൃശൂർ  ജില്ലയുടെ     പ്രത്യേകതകൾ  
32	31	ആറുമാസത്തെ യാത്രയ്ക്ക് ഞാൻ എന്താണ് പായ്ക്ക് ചെയ്യേണ്ടത്? ഞാൻ ബീച്ചിലും പർവതപ്രദേശങ്ങളിലും ആകും, അതെങ്ങനെ സാധിക്കുമെന്ന് എനിക്കറിയില്ല.
33	32	ട്രെയിനും ബസ് യാത്രയും എനിക്ക് വേവലാതിപ്പെടുന്നു. അത് സുരക്ഷിതമായിരിക്കില്ല ഞാൻ ഭയപ്പെടുന്നു. അതൊക്കെ  ഒരുപാട് തകരാറിലല്ലേ?
34	33	എ.ടി.എമ്മുകൾ ഇന്ത്യയിൽ ഉണ്ടോ, അവർ വിദേശ കാർഡുകൾ സ്വീകരിക്കുമോ? ഞാൻ എത്ര തവണ പിൻവലിക്കണം?
35	34	ഞാൻ എപ്പോഴാണ് പോകേണ്ടത്? മലകൾ, മരുഭൂമികൾ, ബീച്ച് എന്നിങ്ങനെ വ്യത്യസ്ത പ്രദേശങ്ങളെയെങ്കിലും കാണണമെന്നുണ്ടെങ്കിലും 2-4 മാസങ്ങൾ മാത്രമെ എനിക്ക് വേണ്ടതുള്ളൂ.
36	35	ഞാൻ ഒറ്റയ്ക്കായിരിക്കും പോകുന്നത്. ഞാൻ സുഹൃത്തുക്കളെ എളുപ്പത്തിൽ ആക്കുമോ? 
37	36	ഇൻറർനെറ്റ് കണക്ഷൻ എങ്ങനെയായിരിക്കും  , ഫോൺ ലഭിക്കുമോ അതോ സ്കൈപ്പ് ലഭിക്കാൻ ഇന്റർനെറ്റ് കഫേ ഉണ്ടാകുമോ ?
38	37	സന്ദർശിക്കാൻ പറ്റിയ  സ്വപ്ന സ്ഥലങ്ങൾ എന്തൊക്കെയാണ്?
39	38	തിരുവനന്തപുരം  ജില്ലയുടെ     പ്രത്യേകതകൾ  
40	39	ഡൽഹിയിൽ സുഹൃത്തുക്കളുമൊത്ത് അൽപസമയം ചെലവഴിക്കാൻ പറ്റിയ ഏറ്റവും നല്ല സ്ഥലങ്ങൾ
41	40	അത്ഭുതങ്ങൾ ഒളിപ്പിച്ചിരിക്കുന്ന ഭൂമിക്കടിയിലെ കൊട്ടാരം
42	41	കോഴിക്കോട്   ജില്ലയുടെ     പ്രത്യേകതകൾ  
43	42	കേരളത്തിൽ കാണാൻ പറ്റിയ  കടൽത്തീരങ്ങൾ
44	43	കേരളത്തിലെ കായലുകൾ 
45	44	കേരളത്തിലെ  മലയോരകേന്ദ്രങ്ങൾ
46	45	കേരളത്തിലെ  തീർഥാടനകേന്ദ്രങ്ങൾ
47	46	കേരളത്തിലെ   വന്യജീവിസം‌രക്ഷണ കേന്ദ്രങ്ങൾ
48	47	കേരളത്തിലെ ചരിത്ര സ്ഥലങ്ങൾ
49	48	കേരളത്തിൽ വരുന്നവർ കണ്ടിരിക്കേണ്ട സ്ഥലങ്ങൾ 
50	49	കേരളത്തിലെ ഭക്ഷണ വിഭവങ്ങൾ
51	50	ഇവിടെ അടുത്തുള്ള ആശുപത്രികൽ 
52	51	പ്രകൃതി രമണീയത ആസ്വദിക്കാൻ പറ്റുന്ന സ്ഥലങ്ങൾ   
53	52	വയനാട്    ജില്ലയുടെ     പ്രത്യേകതകൾ  
